NPI,Gender,State,Credentials,Specialty,Total Opiod Drug Prescriptinons,Total Non-Opiod Drug Prescriptions),Region,NE,MW,S,W,Opioid.Prescriber,Med.Doc
1326073214,M,NJ,PA-C,Physician Assistant,15,0,NE,1,0,0,0,1,0
1063772572,F,MI,MD,Student in an Organized Health Care Education/Training Program,20,0,MW,0,1,0,0,1,0
1144285164,M,AL,MD,Gastroenterology,0,3031,S,0,0,1,0,0,1
1255327441,M,IL,DPM,Podiatry,0,59,MW,0,1,0,0,0,0
1316921752,M,IL,MD,Ophthalmology,0,47,MW,0,1,0,0,0,1
1194739243,M,NY,MD,Cardiology,54,4137,NE,1,0,0,0,1,1
1609831783,F,AZ,D.D.S.,Dentist,30,107,W,0,0,0,1,1,1
1871682567,F,TN,NP,Nurse Practitioner,193,5655,S,0,0,1,0,1,0
1124108774,M,NY,MD,Thoracic Surgery,13,0,NE,1,0,0,0,1,1
1386964930,F,AL,M.D.,Family Practice,48,824,S,0,0,1,0,1,1
1346403839,M,NY,M.D.,Internal Medicine,0,116,NE,1,0,0,0,0,1
1184760480,M,FL,DMD,Oral Surgery (dentists only),86,64,S,0,0,1,0,1,1
1457380826,F,NY,PA,Physician Assistant,11,0,NE,1,0,0,0,1,0
1730245325,M,NY,MD,Psychiatry & Neurology,0,553,NE,1,0,0,0,0,1
1013935303,M,PA,MD,Internal Medicine,251,8345,NE,1,0,0,0,1,1
1629152525,M,TN,D.D.S.,Dentist,44,34,S,0,0,1,0,1,1
1265477343,M,TX,DO,Emergency Medicine,38,12,S,0,0,1,0,1,1
1629099304,M,SC,MD,Anesthesiology,927,425,S,0,0,1,0,1,1
1205126695,F,NC,,Internal Medicine,0,39,S,0,0,1,0,0,1
1982602868,M,CT,M.D.,Orthopedic Surgery,149,148,NE,1,0,0,0,1,1
1578724068,M,MO,D.O.,Internal Medicine,0,12,MW,0,1,0,0,0,1
1144296245,M,WY,M.D.,Family Practice,833,10147,W,0,0,0,1,1,1
1508982414,F,VA,M.D.,Internal Medicine,144,4817,S,0,0,1,0,1,1
1316176233,M,OH,MD,Urology,13,24,MW,0,1,0,0,1,1
1285792762,M,CA,M.D.,General Practice,342,9269,W,0,0,0,1,1,1
1386962785,M,NJ,D.O.,Anesthesiology,1193,1284,NE,1,0,0,0,1,1
1457391989,M,ME,M.D.,Psychiatry & Neurology,0,71,NE,1,0,0,0,0,1
1548413172,M,LA,MD,Internal Medicine,0,50,S,0,0,1,0,0,1
1932193117,M,NJ,M.D.,Otolaryngology,0,393,NE,1,0,0,0,0,1
1487933404,F,NY,PA,Physician Assistant,0,115,NE,1,0,0,0,0,0
1063590743,M,CA,MD,Internal Medicine,594,5307,W,0,0,0,1,1,1
1699740613,M,OH,M.D.,Neurology,1190,5424,MW,0,1,0,0,1,1
1093901357,M,OH,M.D.,Internal Medicine,263,4749,MW,0,1,0,0,1,1
1588612477,F,CA,,Emergency Medicine,34,68,W,0,0,0,1,1,1
1881825461,M,FL,D.O.,Emergency Medicine,103,156,S,0,0,1,0,1,1
1528075702,M,AZ,MD,Ophthalmology,0,1476,W,0,0,0,1,0,1
1467427427,F,MN,MD,Family Practice,104,3127,MW,0,1,0,0,1,1
1437233327,M,NC,M.D.,Cardiology,0,508,S,0,0,1,0,0,1
1053405951,F,OK,M.D.,Anesthesiology,1134,288,S,0,0,1,0,1,1
1528037371,M,ME,MD,Internal Medicine,0,48,NE,1,0,0,0,0,1
1366495459,F,UT,MD,Family Practice,0,392,W,0,0,0,1,1,1
1720393101,F,CA,,Nurse Practitioner,0,97,W,0,0,0,1,0,0
1720089469,M,CA,M.D.,Pulmonary Disease,0,640,W,0,0,0,1,0,1
1467627729,M,FL,,Emergency Medicine,72,86,S,0,0,1,0,1,1
1154471449,M,TX,M.D.,Neuropsychiatry,0,209,S,0,0,1,0,0,1
1811335664,F,PA,MD,Student in an Organized Health Care Education/Training Program,0,87,NE,1,0,0,0,0,0
1184619157,M,FL,MD,Cardiology,0,951,S,0,0,1,0,0,1
1689765588,F,KS,MPT,Physical Therapist,0,11,MW,0,1,0,0,0,0
1053492868,M,IN,M.D.,Family Practice,82,309,MW,0,1,0,0,1,1
1609989268,M,ND,M.D.,Emergency Medicine,36,15,MW,0,1,0,0,1,1
1881784809,F,NY,MD,Family Practice,0,178,NE,1,0,0,0,1,1
1790753143,F,KY,ARNP,Nurse Practitioner,0,1280,S,0,0,1,0,0,0
1588704753,M,MI,D.D.S.,Dentist,0,17,MW,0,1,0,0,0,1
1366415093,M,PR,DMD,Dentist,0,239,O,0,0,0,0,0,1
1750509907,M,ME,D.M.D.,Dentist,0,15,NE,1,0,0,0,0,1
1356448336,M,CA,MD,Internal Medicine,48,138,W,0,0,0,1,1,1
1851463541,M,GA,D.M.D.,Dentist,0,20,S,0,0,1,0,0,1
1336181536,F,GA,APRN BC FNP,Nurse Practitioner,0,135,S,0,0,1,0,0,0
1497035588,M,NY,MD,Student in an Organized Health Care Education/Training Program,0,205,NE,1,0,0,0,0,0
1700045713,M,WI,MD,Dermatology,0,11,MW,0,1,0,0,0,1
1598779209,M,AR,M.D.,Ophthalmology,276,1820,S,0,0,1,0,1,1
1629141379,M,CT,MD,Psychiatry & Neurology,0,22,NE,1,0,0,0,0,1
1952497273,M,NY,,Psychiatry,0,1703,NE,1,0,0,0,0,1
1437209079,F,NY,MD,Psychiatry & Neurology,0,1431,NE,1,0,0,0,0,1
1619986395,M,NJ,"DMD,FAGD",Dentist,0,11,NE,1,0,0,0,0,1
1235124835,M,CA,MD,Ophthalmology,18,59,W,0,0,0,1,1,1
1881699270,M,TX,MD,Otolaryngology,109,1546,S,0,0,1,0,1,1
1588724504,M,TX,MD,General Surgery,49,19,S,0,0,1,0,1,1
1497708556,M,IL,MD,Internal Medicine,172,3000,MW,0,1,0,0,1,1
1154553097,F,FL,O.D.,Optometry,0,3974,S,0,0,1,0,0,1
1962510818,F,SC,MD,Pediatric Medicine,0,46,S,0,0,1,0,0,1
1902989668,M,CA,M.D.,Gastroenterology,12,314,W,0,0,0,1,1,1
1760614101,M,MI,PA-C,Physician Assistant,0,11,MW,0,1,0,0,0,0
1396955589,F,NC,M.D.,Otolaryngology,0,504,S,0,0,1,0,0,1
1073527669,M,TX,M.D.,Ophthalmology,0,1232,S,0,0,1,0,0,1
1689664211,M,MI,MD,Internal Medicine,366,9908,MW,0,1,0,0,1,1
1184679599,M,OH,M.D.,Infectious Disease,0,60,MW,0,1,0,0,0,1
1558575357,M,NY,D.D.S,Dentist,0,24,NE,1,0,0,0,0,1
1508931650,M,IN,M.D.,Family Practice,220,5388,MW,0,1,0,0,1,1
1245390210,M,TX,MD,Gastroenterology,18,253,S,0,0,1,0,1,1
1649533845,M,MO,M.D.,Internal Medicine,0,35,MW,0,1,0,0,0,1
1376703926,F,VA,"MD,MPH",Psychiatry,0,79,S,0,0,1,0,0,1
1447298526,M,MI,MD,Physical Medicine and Rehabilitation,67,270,MW,0,1,0,0,1,1
1700874153,F,AZ,M.D.,Family Practice,14,1349,W,0,0,0,1,1,1
1184638702,F,GA,M.D.,Family Practice,507,4495,S,0,0,1,0,1,1
1356360556,M,MA,DMD,Oral Surgery (dentists only),0,12,NE,1,0,0,0,0,1
1619082526,M,LA,DDS,Dentist,0,21,S,0,0,1,0,0,1
1477686616,F,DE,M.D.,Psychiatry,0,230,S,0,0,1,0,0,1
1659371177,M,MI,DO,General Surgery,67,0,MW,0,1,0,0,1,1
1518951136,F,WI,MD,Ophthalmology,0,280,MW,0,1,0,0,0,1
1285706093,F,CA,MD,General Surgery,39,0,W,0,0,0,1,1,1
1760424683,F,CA,NP,Nurse Practitioner,0,15,W,0,0,0,1,0,0
1497766810,M,NE,MD,Emergency Medicine,53,39,MW,0,1,0,0,1,1
1063467157,M,OH,MD,Emergency Medicine,50,31,MW,0,1,0,0,1,1
1972579928,M,OH,D.O.,Internal Medicine,796,17161,MW,0,1,0,0,1,1
1699853770,F,CA,MD,Obstetrics/Gynecology,0,196,W,0,0,0,1,0,1
1710154299,M,CA,M.D.,Emergency Medicine,16,38,W,0,0,0,1,1,1
1932542842,M,IN,M.D.,Student in an Organized Health Care Education/Training Program,0,28,MW,0,1,0,0,1,0
1124197108,M,PR,M.D.,Nephrology,0,5622,O,0,0,0,0,1,1
1093721847,M,WI,MD,Internal Medicine,0,815,MW,0,1,0,0,0,1
1851458723,M,TX,MD,General Surgery,28,0,S,0,0,1,0,1,1
1063617975,M,MD,M.D.,Family Practice,135,1450,S,0,0,1,0,1,1
1144333055,M,TX,D.O.,Family Practice,19,0,S,0,0,1,0,1,1
1801860630,M,NY,MD,Urology,12,1167,NE,1,0,0,0,1,1
1154472579,M,PA,M.D.,Family Practice,252,10187,NE,1,0,0,0,1,1
1316956899,M,CA,M.D.,Internal Medicine,90,7334,W,0,0,0,1,1,1
1184667842,F,CA,M.D.,Family Practice,408,9553,W,0,0,0,1,1,1
1295856854,M,TX,D.D.S.,Dentist,0,26,S,0,0,1,0,0,1
1962798900,M,PA,MD,Student in an Organized Health Care Education/Training Program,0,130,NE,1,0,0,0,0,0
1831278092,F,MI,PA-C,Physician Assistant,18,377,MW,0,1,0,0,1,0
1184839037,F,MI,D.D.S.,Dentist,0,53,MW,0,1,0,0,0,1
1871685800,M,FL,"BDS,  DDS",Dentist,0,45,S,0,0,1,0,0,1
1558311050,F,CA,MD,Cardiology,0,1773,W,0,0,0,1,0,1
1851308340,M,PR,M.D.,Family Practice,30,5425,O,0,0,0,0,1,1
1063464808,M,NJ,M.D.,Internal Medicine,0,399,NE,1,0,0,0,1,1
1447398615,M,MI,DDS,Dentist,0,18,MW,0,1,0,0,0,1
1487841177,M,CA,MD,Orthopedic Surgery,119,47,W,0,0,0,1,1,1
1063475432,M,IL,PA,Physician Assistant,27,0,MW,0,1,0,0,1,0
1346294717,M,UT,M.D.,Internal Medicine,248,4727,W,0,0,0,1,1,1
1437186061,M,WA,M.D.,Emergency Medicine,42,38,W,0,0,0,1,1,1
1326167164,F,MD,"D.D.S., F.A.G.D.",Dentist,0,14,S,0,0,1,0,0,1
1669558797,M,MI,MD,Cardiology,0,2681,MW,0,1,0,0,0,1
1003813155,F,CT,MD,Internal Medicine,0,15,NE,1,0,0,0,0,1
1114173721,M,CA,"DDS, MD",Maxillofacial Surgery,15,0,W,0,0,0,1,1,1
1760767867,F,IL,,Nurse Practitioner,0,187,MW,0,1,0,0,0,0
1104835941,F,NM,"PMH, CNP/CNS",Certified Clinical Nurse Specialist,0,5136,W,0,0,0,1,0,0
1457554297,F,PR,,General Practice,0,67,O,0,0,0,0,0,1
1083671184,M,OH,MD,Preventive Medicine,26,0,MW,0,1,0,0,1,1
1023360765,F,MN,P.A.,Physician Assistant,36,966,MW,0,1,0,0,1,0
1285617332,M,TN,MD,Infectious Disease,641,2427,S,0,0,1,0,1,1
1992771174,M,AR,MD,Otolaryngology,36,467,S,0,0,1,0,1,1
1467718734,F,TN,MD,Student in an Organized Health Care Education/Training Program,0,73,S,0,0,1,0,1,0
1487918330,M,IL,M.D.,Family Practice,0,39,MW,0,1,0,0,0,1
1811156482,M,WI,M.D.,Rheumatology,207,1016,MW,0,1,0,0,1,1
1285693804,F,MI,M.D.,Dermatology,0,279,MW,0,1,0,0,0,1
1578819355,M,TX,DDS,Dentist,143,197,S,0,0,1,0,1,1
1649208638,F,CA,M.D,Neuropsychiatry,13,2993,W,0,0,0,1,1,1
1932410776,M,TX,MD,Family Practice,39,448,S,0,0,1,0,1,1
1174741524,M,CA,D.D.S.,Dentist,0,30,W,0,0,0,1,0,1
1770716300,M,OH,PA-C,Physician Assistant,43,333,MW,0,1,0,0,1,0
1487623195,F,MD,,Nurse Practitioner,0,26,S,0,0,1,0,0,0
1568454932,M,PR,MD,General Practice,80,6839,O,0,0,0,0,1,1
1790746642,F,NY,PA,Physician Assistant,11,0,NE,1,0,0,0,1,0
1689994428,F,IN,M.D.,Physical Medicine and Rehabilitation,0,33,MW,0,1,0,0,0,1
1992139281,F,IL,PA-C,Physician Assistant,0,15,MW,0,1,0,0,0,0
1609127893,M,PA,MD,Internal Medicine,0,14,NE,1,0,0,0,0,1
1407852148,M,CA,MD,Allergy/Immunology,0,451,W,0,0,0,1,0,1
1104093236,M,NY,M.D.,General Surgery,0,20,NE,1,0,0,0,0,1
1922063064,M,SC,MD,Ophthalmology,0,1108,S,0,0,1,0,0,1
1861588873,M,MN,MD,Psychiatry,0,14,MW,0,1,0,0,0,1
1831388396,M,TX,M.D.,Family Practice,310,7065,S,0,0,1,0,1,1
1649373424,F,OR,MD,Family Practice,16,86,W,0,0,0,1,1,1
1306886064,M,KY,M.D.,Diagnostic Radiology,0,65,S,0,0,1,0,0,0
1740249861,M,ME,MD,Family Practice,122,2351,NE,1,0,0,0,1,1
1972540680,F,RI,MD,Pulmonary Disease,0,75,NE,1,0,0,0,0,1
1902899230,M,WY,PA,Physician Assistant,16,0,W,0,0,0,1,1,0
1548277015,M,NY,M.D.,Hand Surgery,30,0,NE,1,0,0,0,1,1
1992821300,M,TX,MD,Internal Medicine,0,151,S,0,0,1,0,0,1
1831118678,F,WV,MD,Emergency Medicine,23,46,S,0,0,1,0,1,1
1861586836,M,CA,M.D.,Ophthalmology,0,295,W,0,0,0,1,0,1
1144200999,M,TN,MD,Pulmonary Disease,0,1295,S,0,0,1,0,1,1
1063667889,M,NC,M.D.,Family Practice,13,51,S,0,0,1,0,1,1
1659390201,M,TX,D.D.S,Dentist,0,38,S,0,0,1,0,1,1
1225017346,M,IN,D.D.S.,Dentist,0,12,MW,0,1,0,0,0,1
1023003407,M,TX,MD,Emergency Medicine,17,225,S,0,0,1,0,1,1
1427249184,M,OH,,Hospice and Palliative Care,302,82,MW,0,1,0,0,1,0
1447469598,M,IL,D.O.,Emergency Medicine,120,288,MW,0,1,0,0,1,1
1356360713,M,VA,MD,Orthopedic Surgery,73,56,S,0,0,1,0,1,1
1508832528,M,AL,MD,Family Practice,128,3035,S,0,0,1,0,1,1
1942292511,M,VA,MD,Family Practice,449,6783,S,0,0,1,0,1,1
1427019512,F,RI,NP,Nurse Practitioner,50,240,NE,1,0,0,0,1,0
1962483768,M,TX,DDS,Maxillofacial Surgery,109,135,S,0,0,1,0,1,1
1023070364,M,WI,M.D.,Cardiology,11,6100,MW,0,1,0,0,1,1
1992712277,F,VA,M.D.,Obstetrics/Gynecology,0,39,S,0,0,1,0,0,1
1295765063,M,FL,D.O.,Family Practice,253,6013,S,0,0,1,0,1,1
1588873715,M,AZ,M.D.,Thoracic Surgery,11,0,W,0,0,0,1,1,1
1134195993,F,TX,"D.O., MPH & TM",Family Practice,0,110,S,0,0,1,0,0,1
1922178342,M,CA,M.D.,Emergency Medicine,25,0,W,0,0,0,1,1,1
1821031253,M,TX,M.D.,Medical Oncology,198,397,S,0,0,1,0,1,1
1154515385,F,CA,MD,Hand Surgery,19,0,W,0,0,0,1,1,1
1073581856,M,CA,DDS,Dentist,57,94,W,0,0,0,1,1,1
1700292620,M,SC,D.M.D.,Dentist,17,0,S,0,0,1,0,1,1
1740289222,M,AK,MD,Orthopedic Surgery,38,0,W,0,0,0,1,1,1
1225353816,M,NY,MD,Nephrology,0,443,NE,1,0,0,0,0,1
1528022753,M,AL,M.D.,Plastic and Reconstructive Surgery,73,32,S,0,0,1,0,1,1
1073664660,F,CA,"M.D., PH.D.",Hematology/Oncology,0,54,W,0,0,0,1,1,1
1922098169,F,TN,MD,Allergy/Immunology,0,117,S,0,0,1,0,0,1
1194796813,F,FL,D.O.,Family Practice,12,792,S,0,0,1,0,1,1
1811917305,M,CA,MD,Family Practice,70,1658,W,0,0,0,1,1,1
1770529885,F,FL,MD,General Practice,17,7274,S,0,0,1,0,1,1
1790865756,F,TN,APRN,Nurse Practitioner,0,86,S,0,0,1,0,0,0
1669529038,M,PR,,Dentist,0,188,O,0,0,0,0,0,1
1225265051,M,MA,M.D.,Internal Medicine,153,1244,NE,1,0,0,0,1,1
1487634432,M,AR,M.D.,Psychiatry,0,2745,S,0,0,1,0,0,1
1760573901,M,MA,M.D.,Ophthalmology,0,2051,NE,1,0,0,0,0,1
1760558092,F,OH,M.D.,Family Practice,353,9227,MW,0,1,0,0,1,1
1396892287,M,LA,MD,Cardiac Electrophysiology,0,494,S,0,0,1,0,1,1
1144243239,F,NY,RPA-C,Physician Assistant,0,35,NE,1,0,0,0,1,0
1457471781,F,PA,CRNP,Nurse Practitioner,0,14,NE,1,0,0,0,1,0
1215958228,M,NC,D.D.S.,Dentist,0,66,S,0,0,1,0,0,1
1902837206,M,NH,DMD,Dentist,0,13,NE,1,0,0,0,0,1
1518985811,F,NC,M.D.,Internal Medicine,0,353,S,0,0,1,0,0,1
1063408383,M,IA,MD FACOG,Obstetrics/Gynecology,0,14,MW,0,1,0,0,0,1
1669764346,M,CA,D.D.S.,Dentist,0,12,W,0,0,0,1,0,1
1386706646,M,CA,DO,Family Practice,0,61,W,0,0,0,1,0,1
1770772881,F,WA,ARNP,Nurse Practitioner,0,12,W,0,0,0,1,1,0
1023223849,M,CA,MD,Colon & Rectal Surgery,0,11,W,0,0,0,1,0,1
1386677607,F,CA,MD,Internal Medicine,0,195,W,0,0,0,1,0,1
1437284395,F,CT,F.N.P.,Nurse Practitioner,0,81,NE,1,0,0,0,0,0
1679881221,M,IL,M.D.,Internal Medicine,15,252,MW,0,1,0,0,1,1
1760720270,M,IN,M.D.,Internal Medicine,0,13,MW,0,1,0,0,0,1
1205948544,F,CA,M.D.,Obstetrics/Gynecology,0,26,W,0,0,0,1,0,1
1861557605,F,IL,MD,Otolaryngology,0,16,MW,0,1,0,0,1,1
1255394888,M,SC,MD,Family Practice,182,7086,S,0,0,1,0,1,1
1619241551,M,OR,PAC,Physician Assistant,24,30,W,0,0,0,1,1,0
1982711255,M,WI,MD,Internal Medicine,0,13,MW,0,1,0,0,0,1
1821197385,M,CA,M.D.,Pulmonary Disease,0,913,W,0,0,0,1,0,1
1396703161,M,CA,MD,Orthopedic Surgery,25,0,W,0,0,0,1,1,1
1316292451,M,WI,D.O,Hospitalist,0,113,MW,0,1,0,0,0,1
1578562096,M,AL,CRNP,Nurse Practitioner,17,976,S,0,0,1,0,1,0
1689763633,M,GA,MD,Internal Medicine,156,9908,S,0,0,1,0,1,1
1134177827,F,NY,M.D,General Practice,197,8584,NE,1,0,0,0,1,1
1194893867,M,MD,DDS,Dentist,0,28,S,0,0,1,0,0,1
1538179049,M,FL,D.M.D.,Dentist,0,15,S,0,0,1,0,0,1
1629090709,M,CA,M.D.,Family Practice,0,59,W,0,0,0,1,1,1
1811173321,M,OH,DDS,Dentist,0,18,MW,0,1,0,0,0,1
1629325998,F,SC,APRN,Nurse Practitioner,33,13,S,0,0,1,0,1,0
1780832766,M,FL,MD,Internal Medicine,0,24,S,0,0,1,0,1,1
1588680953,M,NE,M.D.,Family Practice,341,7547,MW,0,1,0,0,1,1
1639124985,M,IL,M.D.,Emergency Medicine,27,32,MW,0,1,0,0,1,1
1114359379,F,AR,ANP,Nurse Practitioner,0,116,S,0,0,1,0,0,0
1336403260,M,GA,M.D.,Urology,0,283,S,0,0,1,0,1,1
1578569729,F,WI,MD,Family Practice,128,3264,MW,0,1,0,0,1,1
1194867119,M,PR,DMD,Dentist,0,62,O,0,0,0,0,0,1
1538489158,F,OR,FNP-C,Nurse Practitioner,66,12,W,0,0,0,1,1,0
1144331943,M,GA,PA,Physician Assistant,0,750,S,0,0,1,0,0,0
1043507866,M,IL,MD,Urology,16,33,MW,0,1,0,0,1,1
1740397009,M,CA,DDS,Dentist,12,0,W,0,0,0,1,1,1
1982614293,M,PA,D.O.,Cardiology,0,569,NE,1,0,0,0,0,1
1922142124,M,IL,DDS,Dentist,0,22,MW,0,1,0,0,1,1
1154492296,M,NY,M.D.,Internal Medicine,12,663,NE,1,0,0,0,1,1
1942296470,M,PA,DPM,Podiatry,0,74,NE,1,0,0,0,1,0
1295747046,M,ID,D.O.,Internal Medicine,0,72,W,0,0,0,1,0,1
1417123696,F,MN,M.D.,Family Practice,48,1280,MW,0,1,0,0,1,1
1396960068,M,FL,D.M.D.,Dentist,20,53,S,0,0,1,0,1,1
1053547042,M,NC,D.M.D,Dentist,14,21,S,0,0,1,0,1,1
1326090796,M,AZ,MD,Emergency Medicine,11,0,W,0,0,0,1,1,1
1295721322,M,WA,MD,Colorectal Surgery (formerly proctology),26,11,W,0,0,0,1,1,1
1992923775,M,MD,M.D.,Internal Medicine,0,14,S,0,0,1,0,0,1
1316942287,F,WA,D.D.S.,Dentist,0,12,W,0,0,0,1,0,1
1326024357,F,IL,MD,Internal Medicine,191,4431,MW,0,1,0,0,1,1
1659302990,M,NY,D.O.,Family Practice,209,5231,NE,1,0,0,0,1,1
1639386816,M,NY,MD,Specialist,0,175,NE,1,0,0,0,0,0
1124001771,M,MI,P.A.,Physician Assistant,21,0,MW,0,1,0,0,1,0
1053536250,M,NY,M.D.,Internal Medicine,39,1058,NE,1,0,0,0,1,1
1790713386,F,VA,MD,Emergency Medicine,40,142,S,0,0,1,0,1,1
1326099086,M,WI,MD,Diagnostic Radiology,0,15,MW,0,1,0,0,0,0
1356321442,M,MI,M.D.,Cardiology,0,675,MW,0,1,0,0,0,1
1619074614,M,FL,MD,Internal Medicine,16,1309,S,0,0,1,0,1,1
1306138433,F,CA,M.D.,Psychiatry,0,76,W,0,0,0,1,0,1
1043438278,M,FL,DMD,Dentist,0,35,S,0,0,1,0,0,1
