annual_inc,delinq_2yrs,home_ownership,inq_last_6mths,open_acc,pub_rec,loan_amnt,int_rate
90000,0,0,0,10,0,20000,6.92
109000,1,1,0,10,0,35000,24.99
85490,0,1,1,15,0,20000,12.29
35000,0,0,0,7,0,8000,13.33
100000,0,1,1,16,1,15000,13.99
150000,0,0,0,9,0,16000,9.99
120000,0,1,2,10,1,30000,8.18
30000,1,1,0,11,0,7450,9.99
52000,0,1,0,13,0,18550,20.49
80000,0,0,1,5,0,30000,19.52
70000,0,0,0,9,0,21000,6.68
145000,0,1,0,17,0,15000,6.92
35280,0,1,0,4,0,12000,12.69
52000,0,1,0,6,0,17975,9.99
45000,0,0,0,6,0,2000,7.89
56000,0,1,0,10,0,18750,18.84
30000,0,0,2,14,0,2400,16.99
60000,0,0,1,20,0,5400,8.18
63475,0,1,1,30,0,19200,13.33
79000,1,1,0,17,0,30000,14.65
48000,0,0,0,28,0,10000,7.89
80000,0,1,1,10,0,2400,13.33
40000,0,1,2,8,0,5000,8.18
53500,1,0,2,9,1,10000,14.65
75000,0,0,1,13,0,6000,15.61
109798,0,1,0,17,0,21000,9.17
20000,1,0,1,5,0,1000,17.57
9240,0,1,0,6,0,3875,17.86
148000,0,1,1,21,0,30000,12.69
64000,0,0,1,4,0,25000,13.99
140000,0,1,0,9,0,28000,19.52
32000,0,0,0,9,0,10000,17.57
115000,0,1,0,13,2,35000,17.57
195000,1,0,0,20,0,14000,9.17
56000,0,0,0,10,0,12000,14.65
95000,0,1,0,10,0,18000,6.92
60000,0,0,2,16,0,4000,15.61
34000,0,1,0,10,1,4000,11.53
47504,0,0,0,5,0,23725,18.84
65000,0,1,0,10,0,14800,17.86
125000,0,1,1,7,0,11975,16.99
42589,0,0,1,11,0,9000,12.29
48000,0,1,2,12,1,12000,12.29
48000,1,0,0,8,1,7000,6.92
22500,0,0,1,9,0,8400,9.17
50000,0,1,0,7,0,17000,12.29
75000,1,0,0,11,0,23000,8.18
30000,0,0,0,8,0,7200,14.65
60000,0,0,2,13,0,12000,10.99
60000,1,0,2,11,0,5000,11.53
40000,0,0,0,10,1,13700,24.99
47000,0,0,1,13,0,11200,13.99
50000,0,1,5,17,0,10100,18.25
102000,0,1,0,6,0,5000,6.39
32000,0,0,0,18,0,13375,17.57
79000,0,1,0,10,1,7000,8.18
360000,2,1,0,16,0,25000,7.89
75000,1,0,0,7,0,10000,13.99
37000,1,0,0,15,0,13250,16.55
75000,1,1,1,19,0,13300,6.68
90000,0,0,1,11,0,5000,11.53
100000,0,1,1,19,2,10000,9.99
200000,0,1,1,9,0,32000,9.99
48000,0,1,0,9,1,11075,17.57
70000,0,0,1,11,0,15000,15.61
75000,0,0,0,6,0,19000,13.33
45000,0,0,0,15,0,12200,21.67
120000,3,1,0,14,0,24000,8.18
30000,0,0,0,5,0,13800,21.67
54000,0,0,0,5,0,14000,6.92
125000,0,1,0,15,1,15600,12.69
77533,0,0,0,11,0,20000,15.61
50000,0,0,0,12,0,21000,12.69
200000,0,1,0,9,0,10000,12.69
100000,2,0,0,6,2,7000,6.92
60000,0,0,0,12,1,10000,16.55
40000,0,1,0,15,0,9600,12.29
80000,0,0,0,4,0,9600,8.18
56100,5,0,0,20,0,8400,7.89
68000,0,1,0,18,1,4750,11.53
127900,0,0,0,7,1,12575,13.33
48000,3,1,1,9,0,12000,18.84
159000,0,1,1,6,0,35000,13.33
51000,1,0,1,12,0,10000,13.33
141000,0,1,1,6,0,25000,9.99
55000,0,0,4,18,0,7000,17.86
95000,0,0,0,14,0,35000,25.83
38000,3,0,0,14,0,15950,12.69
90000,0,0,0,7,0,13200,7.89
60000,0,1,1,8,0,4000,11.53
101000,0,1,0,16,0,27500,5.93
26000,0,1,0,18,1,2975,15.61
97000,0,1,1,16,0,24000,13.99
66500,1,1,1,10,0,18000,12.69
24000,0,0,1,5,0,5500,16.55
70000,3,1,0,18,0,14400,25.89
54120,0,1,1,6,0,16000,9.17
105000,0,1,2,16,0,13700,16.55
65000,0,1,1,17,0,7000,11.53
33000,0,1,0,10,0,13150,23.99
100000,0,1,0,5,0,20000,7.89
28006,0,1,0,24,0,13000,7.89
58000,0,1,0,10,0,20000,12.29
103000,0,1,0,13,0,24000,15.61
109000,0,1,0,8,0,30000,12.69
105000,0,1,0,20,0,28500,13.33
49000,0,1,0,11,1,17000,12.69
29000,0,0,0,4,0,10000,9.17
80000,1,1,1,9,0,20000,12.29
57000,0,1,1,23,0,16000,16.55
70000,0,1,0,14,0,3200,12.69
90000,1,0,0,7,0,20000,7.89
200000,0,1,1,29,1,24000,6.39
63000,0,1,0,7,0,14000,7.89
45000,0,0,1,16,0,13000,13.33
75000,0,1,1,15,0,7200,14.65
48000,0,1,3,11,0,8000,14.65
67000,0,1,2,8,0,15000,13.33
67000,0,0,1,13,0,22400,14.65
61000,0,1,0,10,0,4000,12.29
55000,0,1,0,20,0,12000,13.33
58000,0,1,0,9,0,10000,8.18
80000,0,0,0,14,0,25000,12.69
87727,0,0,0,11,0,21000,13.99
70000,0,1,0,15,0,16000,10.99
90000,0,1,0,8,2,10000,14.65
24000,0,1,0,9,0,9100,13.99
55000,0,1,0,7,2,10000,12.29
84600,0,0,0,17,0,7000,11.53
85000,0,0,0,22,0,10000,12.69
47000,0,1,2,7,0,15925,20.49
46000,0,1,0,10,1,10000,8.18
68000,0,1,0,9,0,25000,9.99
160000,2,1,0,37,0,30000,13.33
65000,3,1,3,10,1,6000,11.53
58000,1,1,1,7,1,15000,18.25
100000,0,0,1,42,0,20000,13.33
86000,0,1,1,18,0,20000,12.69
63000,0,0,0,9,1,12000,11.53
68000,0,1,1,14,0,28000,7.89
100000,0,1,0,13,1,24000,12.29
33000,0,0,0,13,0,11850,18.25
70000,1,1,0,10,0,20000,16.99
36000,0,0,0,6,0,7500,9.17
117910,0,1,0,8,0,35000,13.99
40000,0,0,1,11,1,4300,18.84
46800,0,0,0,11,0,3600,8.18
32200,0,0,1,8,0,3600,12.69
49000,1,0,0,30,0,12000,12.29
68000,0,0,0,15,0,7000,12.29
51000,0,1,0,8,0,10200,18.25
45000,0,0,0,10,0,12000,13.33
70000,0,0,0,17,0,11200,6.39
42000,0,0,3,11,0,5000,12.29
120000,1,0,0,8,0,10000,7.89
115072,0,1,1,22,0,10000,5.93
95000,0,1,0,8,1,16000,9.99
45000,1,0,0,19,0,3000,12.69
50000,1,0,1,29,0,20000,6.92
28000,0,0,0,11,1,8000,12.69
87000,1,1,0,21,0,22575,12.29
70000,1,1,0,14,0,35000,13.99
60000,0,1,1,19,0,16000,18.25
47252,0,1,3,9,0,12750,13.99
98000,0,1,3,19,0,5000,13.33
60000,0,1,0,12,0,5000,11.53
35000,0,0,3,13,1,10000,16.99
123000,0,1,0,7,0,25000,10.99
72000,0,0,0,10,0,25000,12.69
132000,1,1,0,13,0,25000,5.93
77000,0,1,1,17,0,9175,12.69
45000,0,1,0,6,0,20625,17.86
160000,0,1,0,18,0,6000,8.18
161000,0,0,0,5,0,35000,9.99
61000,0,0,0,7,1,10000,17.86
50000,0,0,2,9,0,8500,14.65
44000,0,0,2,2,0,12000,19.52
26000,0,0,0,5,0,8400,13.33
90000,2,1,0,7,0,20000,6.92
120000,0,0,0,3,0,35000,16.55
81000,0,1,0,5,0,21000,15.61
70000,0,0,0,15,0,12000,6.92
60000,0,0,0,4,0,12000,15.61
77100,0,1,0,10,0,12000,6.39
80000,0,0,0,10,0,35000,17.57
100297,2,1,0,10,1,9600,12.69
65000,0,1,0,18,0,7500,5.93
35000,0,0,0,12,0,12000,15.61
34000,0,1,1,12,1,8500,16.55
105120.03,0,0,0,10,0,9250,6.39
140000,0,1,0,16,0,30000,9.99
54000,0,1,2,26,0,20000,15.61
65000,0,0,1,6,0,28500,14.65
60000,0,1,0,9,1,12000,6.39
170000,0,1,0,21,0,19000,5.93
65000,0,1,0,13,0,31375,12.69
70000,1,0,0,10,1,21000,12.29
52000,0,1,1,13,0,10000,9.99
69000,0,1,0,8,0,2000,6.92
48000,0,1,1,10,0,15350,14.65
150000,0,1,1,11,0,14400,13.33
30000,0,1,2,11,0,11850,16.99
69000,0,1,0,15,0,25025,17.57
65000,5,1,0,10,0,20000,12.69
102000,0,1,0,26,0,31300,13.99
62000,0,1,0,10,0,18075,10.99
55000,0,1,0,9,0,12000,8.18
45000,0,1,0,9,0,7800,6.92
118000,0,1,0,5,0,23225,9.17
39100,0,1,0,16,0,15000,12.69
95000,0,1,0,17,0,25000,8.18
45000,0,0,0,11,0,12000,12.29
40000,0,0,0,8,0,10000,16.55
100000,0,1,0,17,1,12000,12.29
59995,0,0,3,12,0,8875,18.84
98000,0,1,1,11,0,35000,18.84
49016,4,0,0,11,0,8500,13.99
125000,0,1,0,8,0,28000,5.93
27000,1,0,1,6,0,8000,12.69
32000,0,0,0,9,0,2200,13.33
62000,0,1,1,7,0,10000,19.52
40000,0,0,1,13,0,7025,18.25
130000,0,1,0,10,0,10000,5.93
68000,0,0,0,16,0,16200,14.65
88000,3,1,1,8,0,11000,7.89
117000,1,1,0,20,0,20000,12.29
60000,1,0,0,7,0,13500,9.99
105000,0,1,0,9,0,21000,8.18
62500,1,1,2,20,0,2000,13.33
34000,0,1,1,13,1,10175,16.55
35000,0,0,0,4,0,12000,9.99
100000,1,1,0,5,0,15000,15.61
76000,3,1,1,17,0,8000,12.29
38000,0,0,0,3,0,15000,6.92
75000,0,1,1,11,0,6000,11.53
40000,2,0,0,10,0,9000,10.99
60000,0,1,0,12,0,16000,18.84
65000,0,1,0,11,0,16550,17.57
58000,0,0,0,11,0,20800,13.99
365000,0,1,2,6,0,35000,17.57
76000,0,0,2,7,1,3000,16.55
36180,0,0,0,3,0,5000,13.33
45600,0,1,1,14,0,5600,12.69
91405,1,0,1,9,0,12000,13.33
102222,0,1,1,7,0,14000,12.69
103000,0,1,0,13,0,35000,17.86
37000,0,1,1,8,0,9975,17.86
80000,0,1,0,12,0,12000,6.68
135000,0,1,4,18,0,14000,11.53
45000,1,0,1,11,2,4200,17.86
100000,1,0,0,10,0,20000,16.55
70000,0,1,0,5,0,10000,6.39
35000,0,1,0,22,0,15000,9.17
313000,0,1,0,8,0,27200,10.99
116000,1,0,0,8,1,20000,13.99
300000,2,1,0,4,0,35000,13.33
96000,2,1,1,15,0,14000,9.17
34000,0,0,0,10,0,13600,19.52
45000,0,0,0,13,0,15000,16.99
50000,1,0,0,18,0,7725,7.89
118000,0,1,0,12,0,32000,13.99
48995,0,1,0,9,4,20000,12.69
95000,0,0,0,15,0,11000,5.93
69500,0,1,0,19,0,5500,15.61
135000,0,1,0,33,0,35000,9.99
34611.2,1,0,0,9,0,11200,18.25
40000,1,0,2,3,0,10000,9.99
90000,1,0,0,19,0,18625,16.55
170000,0,1,0,12,0,35000,18.25
165000,0,1,0,5,0,13000,8.18
82000,0,1,0,24,0,20000,11.53
55000,0,1,0,5,0,5000,8.18
45000,0,1,0,7,0,20000,13.33
75000,0,1,3,21,0,21000,11.53
40000,0,0,1,8,1,12000,14.65
55000,0,1,0,14,0,18450,24.99
21000,0,0,0,20,0,5000,12.29
80000,1,0,1,29,0,17600,12.29
42000,0,1,0,7,0,15000,13.99
71880,3,1,0,14,0,25025,12.69
84000,0,1,3,19,0,35000,16.99
60000,0,0,0,6,0,8400,12.29
38000,0,0,0,5,6,3600,11.53
95000,0,0,0,12,0,30000,21.67
170000,0,1,0,15,0,28000,17.57
35000,0,0,0,12,0,10000,7.89
80000,0,0,0,13,0,20000,10.99
100000,0,0,0,9,0,15000,9.99
34000,0,0,2,15,0,14000,16.55
65000,0,0,0,16,0,17000,10.99
37000,0,1,1,12,1,13500,13.99
70000,0,1,0,10,0,15000,13.33
32700,0,0,0,16,0,6000,15.61
75000,0,1,0,17,0,16000,8.18
19500,0,1,0,3,0,5200,12.29
35000,0,1,0,22,0,8500,15.61
59830,0,0,0,11,0,6400,9.99
59212,0,0,1,15,0,18450,20.49
18000,0,0,1,9,0,6425,13.99
96000,0,1,1,11,0,15000,9.17
81500,0,1,1,19,0,30000,13.33
45722,0,1,0,6,0,20950,16.55
138000,0,1,0,13,0,8000,9.17
70000,0,1,0,15,0,13800,7.89
120000,0,0,0,6,0,20000,8.18
50000,0,0,0,13,0,13000,12.29
68000,0,1,0,8,0,25000,7.89
42000,2,1,2,10,0,2500,16.55
95000,0,1,0,19,0,10000,12.29
45000,4,1,0,11,0,5000,6.92
21000,0,0,1,4,0,1925,16.99
100000,0,0,0,6,0,12000,9.17
26400,2,1,4,14,2,3075,16.99
205000,0,1,0,8,0,15000,5.93
55698,0,1,0,12,0,13000,17.57
92000,1,1,1,13,0,2000,9.17
90000,0,1,0,13,2,15000,6.92
52000,0,1,1,15,0,12000,13.33
65000,0,0,4,12,1,7000,12.69
63000,1,1,0,7,0,12350,18.84
83000,0,0,1,6,2,8200,12.29
60000,0,0,2,9,0,9000,10.99
65000,0,0,2,9,0,23325,16.99
100000,0,1,1,7,0,15000,6.39
166000,1,1,2,7,0,18000,14.65
130000,1,0,0,8,0,12000,17.86
25000,0,0,0,4,0,7000,12.69
122000,1,1,0,10,0,18000,14.65
47500,0,0,0,10,1,10325,16.55
30000,0,0,1,7,0,10000,15.61
94000,0,0,1,6,0,24000,11.53
41938,1,1,0,12,0,4250,12.69
95000,0,0,0,6,1,12000,6.92
95000,0,0,1,14,0,10000,11.53
56000,0,0,2,10,2,14400,12.29
152000,0,0,0,14,0,25000,17.57
150000,0,0,0,18,0,35000,9.99
100000,0,0,1,22,0,25000,12.69
80000,0,0,1,28,0,17600,9.17
120000,0,1,0,17,0,35000,17.57
30000,0,0,3,11,0,5000,17.86
65000,0,1,1,6,0,8000,13.99
49050,0,1,0,3,0,12000,9.17
98000,1,1,0,10,0,14000,9.17
186500,0,1,1,13,0,20000,12.29
56000,0,0,0,5,0,12000,9.99
52000,7,0,0,15,0,11200,12.29
120000,0,1,0,11,0,30000,15.61
68000,0,0,1,23,0,15200,16.55
31000,0,0,0,4,1,8450,14.65
44000,0,1,1,4,1,13250,17.57
32292,0,0,0,7,0,13475,18.25
73000,0,1,0,11,0,35000,9.99
119000,0,1,0,5,0,20000,9.17
77000,0,1,0,11,0,20000,6.68
40000,0,1,2,13,0,19950,24.99
55000,0,0,0,10,0,8600,9.17
70000,2,0,0,12,0,12000,6.68
40000,0,0,0,7,0,14400,17.57
1500000,1,1,3,21,0,9600,13.33
35000,0,0,0,6,0,5000,6.92
120000,1,1,0,12,0,18000,6.92
57200,0,0,0,11,0,16000,9.99
81000,0,1,2,20,0,20000,14.65
50000,0,1,0,24,0,13775,17.86
41000,0,0,1,12,0,8000,14.65
60000,0,0,0,6,0,16750,9.17
120000,0,0,2,14,0,25000,12.29
108000,0,0,0,14,0,20000,6.68
130000,0,1,2,20,0,10000,7.89
100000,0,0,0,7,0,12000,6.92
40000,0,0,1,7,0,15000,12.69
28836,0,1,1,7,1,4000,15.61
210000,0,0,0,6,1,20925,13.33
47000,0,0,2,19,1,22400,15.61
109000,1,1,0,25,0,35000,17.57
29300,1,0,0,7,0,10000,13.33
77000,0,0,2,11,1,14500,18.84
60000,2,1,0,13,0,24500,12.69
66000,1,1,3,17,0,12000,18.25
32000,0,0,0,9,0,1000,14.65
40000,0,0,1,14,0,14375,16.55
30000,1,1,1,19,0,12000,10.99
36000,0,0,2,22,0,12150,21.67
52000,0,1,0,10,3,7125,15.61
102000,0,1,0,19,0,3000,9.17
68000,1,1,0,14,0,19500,16.55
170000,1,1,0,34,0,28000,13.33
38000,0,0,0,8,0,4200,13.99
175000,1,1,2,14,0,13000,7.89
132000,0,1,0,12,1,8000,5.93
106000,2,1,0,12,0,9000,8.18
62000,1,1,0,12,0,11000,6.92
40000,0,0,1,7,1,10000,12.69
94702.4,0,0,0,16,0,12800,11.53
120000,0,1,1,16,0,28000,11.53
40000,0,0,0,17,0,6125,6.92
50178.74,3,1,1,10,1,12000,15.61
52000,0,0,0,9,0,13000,17.57
72000,0,1,0,8,0,3600,6.92
65000,0,0,2,14,1,8000,13.33
42000,1,1,1,9,0,19350,17.86
78000,0,1,1,15,0,20000,6.92
48000,0,0,0,10,0,8000,13.33
145000,1,1,0,15,0,24000,14.65
60000,1,1,0,18,0,23000,11.53
42000,0,0,0,6,0,12000,11.53
50000,0,1,0,5,0,15000,8.18
50000,0,1,0,21,0,5650,8.18
70000,0,0,4,10,0,10000,14.65
100000,0,1,0,10,0,20000,7.89
60000,0,0,0,12,1,9000,14.65
93000,1,1,0,14,0,26000,7.89
67528,0,0,0,9,0,28000,13.33
40000,0,1,0,17,0,4025,16.55
45000,0,0,2,12,1,7800,6.68
55000,0,0,1,8,0,25000,13.33
50000,0,1,2,9,0,20000,11.53
42000,0,0,1,9,0,12850,13.99
70000,0,1,1,5,0,25000,20.49
65495.6,0,0,0,11,0,19000,9.17
72000,0,1,1,9,0,9000,13.33
20000,1,1,0,3,0,2000,9.17
60000,2,1,1,13,0,29975,24.99
77213,0,1,1,25,0,19000,14.65
60000,0,0,1,12,0,6500,10.99
48000,2,0,1,12,0,11000,11.53
44000,0,0,0,14,0,16000,15.61
87000,1,0,1,15,0,21000,13.99
52296,0,0,1,14,0,5000,12.29
74000,0,1,1,6,0,10000,9.17
23000,0,1,0,7,0,3475,15.61
54000,0,0,1,11,0,21550,15.61
105000,2,1,2,13,0,25000,18.25
94000,0,1,0,15,0,22000,6.92
72000,1,0,3,14,1,5500,13.33
116000,0,0,0,9,0,10000,12.29
50000,0,1,0,8,1,3000,6.92
52000,0,1,0,14,0,20000,7.89
130000,0,1,0,13,0,21600,8.18
60000,0,1,2,8,0,16000,12.69
34000,0,0,1,7,0,3000,10.99
65000,0,0,0,14,0,7200,7.89
50000,0,1,3,25,0,12000,14.65
115000,0,1,0,14,1,16000,13.99
80000,0,1,5,17,1,12000,23.99
65146,1,0,0,10,0,20000,13.99
71000,1,1,1,18,0,24000,6.39
45000,0,0,0,23,0,20700,16.99
108000,0,1,0,17,0,19600,11.53
85000,0,0,0,11,2,19200,19.52
31000,0,0,2,13,1,8400,8.18
190000,1,1,0,22,0,15000,5.93
43392,0,1,0,7,0,15950,16.99
42290,0,0,1,7,0,14800,13.33
66000,1,1,1,14,0,15000,18.25
58000,0,1,0,6,0,17350,25.57
61000,0,1,0,13,0,12000,11.53
50000,0,0,1,6,0,16000,8.18
30000,0,0,0,5,0,10000,11.53
66000,1,1,0,29,1,27000,11.53
46000,0,1,0,10,0,15825,18.84
87000,0,1,0,5,0,5200,13.99
39000,0,0,0,14,2,10000,9.17
43000,0,1,0,11,1,12000,11.53
32000,0,0,0,11,0,3500,15.61
53000,0,0,0,12,1,19000,16.99
60000,0,0,0,7,0,3000,8.18
47000,0,1,0,11,0,13150,12.69
100000,1,1,1,9,0,6400,12.69
110000,0,1,2,14,0,32000,17.57
30000,0,0,2,10,0,10800,18.84
50000,1,0,0,10,0,9000,7.89
152000,0,1,0,8,0,21000,15.61
104000,0,1,1,18,0,28000,6.92
73000,0,0,0,3,0,5000,5.93
120000,0,1,1,10,0,20000,12.29
50000,0,0,2,11,0,16575,23.99
80000,1,1,0,4,0,3000,11.53
75000,0,1,2,12,1,18000,17.86
45000,0,1,0,3,0,17000,6.39
68000,0,1,0,8,1,29850,18.25
83900,0,1,0,14,0,30000,25.57
80000,0,1,0,10,0,12000,7.89
95000,0,0,0,9,0,20000,8.18
125000,0,1,0,12,0,13000,6.68
58000,0,1,1,22,1,24250,18.25
78000,0,0,1,16,0,16800,13.99
48000,0,1,0,9,1,21000,12.29
89000,0,0,0,25,0,35000,13.33
68000,0,1,0,11,0,30000,19.52
87400,0,1,0,9,1,9250,18.25
40000,0,0,2,15,1,6000,13.33
155000,0,0,0,9,0,10000,12.69
72300,0,0,0,5,0,12000,9.99
52500,0,0,0,10,0,5600,6.92
152000,0,1,0,10,0,12000,18.84
107940,2,0,1,14,0,16000,13.99
40000,0,1,0,16,0,10000,6.39
58000,0,1,2,20,0,12325,25.8
103000,0,1,0,18,0,12000,12.29
75000,0,1,1,20,0,30000,11.53
69101.21,0,0,0,6,0,10000,6.39
46000,0,1,0,6,0,2500,6.68
36000,0,0,1,4,0,4000,13.99
50000,0,0,0,10,0,14000,11.53
150500,0,1,2,14,0,20000,5.93
280000,2,0,1,14,0,28000,7.89
52000,0,0,2,11,0,10000,6.92
38000,0,1,0,15,0,8000,10.99
51000,0,0,0,6,0,15000,13.99
26000,1,0,0,13,0,7000,12.29
48000,0,0,0,6,0,18000,13.33
48000,2,1,0,13,0,20000,9.99
150000,1,1,0,14,0,24000,10.99
75000,0,0,2,15,0,24000,13.99
34500,0,1,1,44,1,10300,25.99
53000,0,1,0,10,0,20000,12.69
30000,0,1,1,13,0,10000,12.69
55000,0,1,0,11,0,25000,6.68
52000,1,0,1,20,0,20000,9.17
175000,0,1,1,13,0,30000,7.89
75000,0,1,0,13,2,15125,16.99
65000,3,1,2,13,0,14000,12.29
98000,1,0,0,16,0,35000,21.67
126000,1,0,0,19,0,32000,15.61
55000,0,1,1,17,0,8000,5.93
64600,0,0,1,11,0,12000,12.69
103000,1,1,1,18,0,18000,7.89
100000,0,1,0,18,0,24000,12.29
68000,0,0,1,7,0,19000,16.99
113650,0,1,1,8,1,17225,13.99
160000,0,1,0,9,0,30000,9.17
84380,0,1,0,14,0,20000,6.92
60000,0,0,0,8,1,9000,12.69
90000,0,1,2,9,1,24000,18.84
49000,0,0,1,10,1,7475,18.84
31419,0,0,0,12,0,5300,11.53
86000,0,0,0,8,0,6000,11.53
118000,0,1,1,15,0,35000,16.99
68300,0,0,1,19,0,9200,8.18
160000,0,0,0,7,0,22500,9.99
142000,0,1,3,7,1,6225,15.61
146000,1,1,0,7,0,30000,11.53
75000,0,0,0,8,0,20800,8.18
67000,0,0,0,8,0,16000,15.61
55000,0,1,0,16,0,25000,7.89
56305.6,0,0,0,6,0,20000,13.99
95000,0,0,0,33,0,35000,11.53
67000,1,0,0,10,0,12000,9.99
20000,0,0,0,5,0,8400,12.69
100000,0,0,0,12,0,10000,8.18
65000,0,0,1,18,0,28325,8.18
66000,0,1,2,7,0,15000,13.33
60000,0,1,0,13,0,11000,9.17
56000,2,1,1,12,0,15000,16.55
110000,1,1,0,11,0,28000,6.92
43000,0,0,0,8,0,18000,16.99
83000,0,1,0,14,0,28000,9.99
106652,0,1,0,19,0,19200,7.89
40000,1,0,0,12,0,5000,13.33
112500,0,0,1,8,0,15000,6.68
130000,0,1,0,16,0,15000,7.89
113000,1,0,0,16,1,8400,7.89
32000,0,0,1,7,0,9600,7.89
62000,0,1,1,16,2,7500,10.99
62000,0,1,0,12,0,24000,9.99
56000,0,1,0,10,1,9350,15.61
37000,0,1,1,5,0,6600,14.65
40000,0,0,0,6,0,16000,11.53
15400,0,0,0,9,1,2400,8.18
50000,0,0,1,19,0,20000,14.65
49774,0,1,0,13,0,10000,7.89
56000,0,1,0,8,0,24000,12.69
71000,0,1,2,17,0,26975,25.89
55000,0,1,1,18,1,10000,9.99
110000,0,1,0,8,1,25000,7.89
30000,0,0,1,11,0,3000,17.86
56000,1,0,0,13,0,18000,7.89
77000,0,1,5,35,0,20000,17.86
32000,0,1,0,13,5,3000,10.99
58000,0,0,0,6,1,13100,12.29
40000,0,0,0,11,0,8000,9.99
150000,1,0,0,11,0,35000,14.65
56000,0,1,1,7,0,16000,15.61
84000,0,0,0,8,1,11000,7.89
76000,0,0,0,6,0,7000,6.68
42216,0,1,0,10,4,14100,15.61
90000,0,0,2,5,0,24000,8.18
30000,0,1,0,7,0,13000,16.99
100000,0,1,0,13,0,32000,10.99
47899,2,1,0,13,0,16800,13.33
52000,1,1,2,9,1,18350,18.84
86000,0,1,0,12,0,15000,5.93
105000,0,1,0,22,0,24800,16.99
13800,0,0,0,4,0,5775,13.99
80000,1,1,0,12,0,35000,13.33
55000,0,1,1,6,1,12000,12.29
71370,1,0,1,19,0,15000,13.99
75000,0,1,2,13,0,20000,20.49
63000,1,1,0,14,0,30225,19.52
115000,0,0,0,13,1,10000,7.89
55000,0,1,2,12,0,5875,18.25
48000,2,0,1,7,0,1500,12.69
87000,0,0,1,11,2,10000,12.69
100000,0,0,2,10,1,30000,18.84
60000,2,1,1,15,0,24000,12.69
50000,0,0,0,3,1,12000,12.29
125000,1,1,0,12,1,25000,16.55
63000,0,1,1,8,0,20050,15.61
57400,0,0,0,19,0,9000,11.53
70000,0,0,1,8,0,24000,8.18
125000,0,1,1,9,0,16000,10.99
125000,0,0,0,17,0,28000,13.99
53000,0,1,0,10,0,14400,6.68
48000,0,0,0,7,0,20750,13.33
30000,0,0,1,7,0,10000,16.55
41000,0,1,1,10,1,11200,18.84
55000,0,1,1,8,0,19750,24.5
70000,0,1,2,5,0,5750,17.57
108000,0,0,0,16,0,20000,6.68
96500,0,0,0,14,0,22000,6.92
65000,0,1,0,12,0,18000,18.25
108000,0,1,2,18,4,24000,12.29
77425,0,1,4,16,0,23725,22.99
